title,date,link
Annual Report 2023,2024-07-26,https://www.china-tcm.com.cn/UploadFiles/Files/20240726091802141.pdf
Annual Report 2022,2024-07-26,https://www.china-tcm.com.cn/UploadFiles/Files/20240726091710980.pdf
Annual Report 2021,2024-07-26,https://www.china-tcm.com.cn/UploadFiles/Files/20240726091613941.pdf
Annual Report 2020,2024-07-26,https://www.china-tcm.com.cn/UploadFiles/Files/20240726091427300.pdf
